Timestamp,Device,CPU_%,Memory_%
2026-07-07 16:12:36,R1-Core,41,40
2026-07-07 16:12:36,SW1-Access,66,76
2026-07-07 16:12:36,FW1-Edge,91,74
2026-07-07 16:16:00,R1-Core,84,86
2026-07-07 16:16:00,SW1-Access,88,71
2026-07-07 16:16:00,FW1-Edge,76,47
2026-07-07 16:16:41,R1-Core,44,78
2026-07-07 16:16:41,SW1-Access,47,58
2026-07-07 16:16:41,FW1-Edge,91,83
2026-07-07 16:16:43,R1-Core,69,83
2026-07-07 16:16:43,SW1-Access,38,61
2026-07-07 16:16:43,FW1-Edge,58,85
2026-07-07 16:16:45,R1-Core,49,58
2026-07-07 16:16:45,SW1-Access,62,43
2026-07-07 16:16:45,FW1-Edge,84,50
2026-07-07 16:16:47,R1-Core,36,62
2026-07-07 16:16:47,SW1-Access,55,71
2026-07-07 16:16:47,FW1-Edge,86,87
2026-07-07 17:27:08,R1-Core,42,34
2026-07-07 17:27:08,SW1-Access,26,51
2026-07-07 17:27:08,FW1-Edge,61,39
2026-07-07 17:28:38,R1-Core,54,63
2026-07-07 17:28:38,SW1-Access,32,81
2026-07-07 17:28:38,FW1-Edge,65,34
2026-07-07 17:29:16,R1-Core,46,35
2026-07-07 17:29:16,SW1-Access,90,67
2026-07-07 17:29:16,FW1-Edge,74,72
2026-07-07 17:30:08,R1-Core,31,72
2026-07-07 17:30:08,SW1-Access,86,39
2026-07-07 17:30:08,FW1-Edge,28,42
